2nd Street	19 pts in sheet	lat 34.06077..34.06129	lng -118.26371..-118.26084
Witmer Street	17 pts in sheet	lat 34.05898..34.06217	lng -118.26353..-118.26074
3rd Street	17 pts in sheet	lat 34.05846..34.05968	lng -118.26501..-118.26203
Columbia Avenue	9 pts in sheet	lat 34.05934..34.06120	lng -118.26444..-118.26284
Miramar Street	7 pts in sheet	lat 34.05957..34.06045	lng -118.26341..-118.26144
Loma Drive	5 pts in sheet	lat 34.06123..34.06135	lng -118.26393..-118.26371
Crown Hill Avenue	2 pts in sheet	lat 34.05943..34.05951	lng -118.26438..-118.26433
