4th Street	27 pts in sheet	lat 34.05535..34.05711	lng -118.25956..-118.25751
3rd Street	20 pts in sheet	lat 34.05668..34.05776	lng -118.26031..-118.25739
Boylston Street	13 pts in sheet	lat 34.05541..34.05714	lng -118.25867..-118.25756
Bixel Street	10 pts in sheet	lat 34.05691..34.05818	lng -118.26021..-118.25939
Beaudry Avenue	10 pts in sheet	lat 34.05544..34.05612	lng -118.25769..-118.25706
Miramar Street	8 pts in sheet	lat 34.05702..34.05818	lng -118.25939..-118.25738
Emerald Street	7 pts in sheet	lat 34.05940..34.05954	lng -118.25991..-118.25726
Huntley Drive	4 pts in sheet	lat 34.05714..34.05846	lng -118.25756..-118.25724
2nd Street	2 pts in sheet	lat 34.05949..34.05949	lng -118.25726..-118.25726
Emerald Drive	1 pts in sheet	lat 34.05944..34.05944	lng -118.25991..-118.25991
